kernel,source,source_token,standalone_c,fixture_scalar_types,fixture_shape_macros,operation_summary,reviewed_semantic_family,current_match,current_match_scope,current_implementation_class,current_implementation_detail,counts_as_library_reuse,linalg_ops,residual_loops,closest_library,closest_api,relationship,whole_kernel_coverage,semantic_constraints,rank_layout_constraints,required_compiler_work,confidence,priority,notes,evidence_url,alternative_libraries,current_backend_support,compiler_gap_class
aten_adaptive_max_pool3d_legacy_cpu,aten/src/ATen/native/AdaptiveMaxPooling3d.cpp,adaptive_max_pool3d_out_frame,issues/aten_c_kernels/aten_adaptive_max_pool3d_legacy_cpu.c,float/int,C=2; ID=8; IH=9; IW=10; OD=3; OH=4; OW=5,adaptive_pooling: adaptive_max_pool3d_frame,adaptive_pooling,,NONE,NO_IMPLEMENTATION,no emitted launch,no,0,7,cuDNN,regular Resample/pooling,SUBSET_WITH_CONSTRAINTS,only divisible regular-window cases,adaptive bin boundaries generally vary by output index; max indices/ties must match,only cases reducible to a fixed window and stride,finish raising residual loops; then prove regular-window specialization; otherwise no one-call library route,HIGH,LOW,,https://docs.nvidia.com/deeplearning/cudnn/latest/index.html,NPP for compatible 2D image cases; implicit-GEMM via cuBLAS/CUTLASS for convolution,RELATED_CUDNN_WRAPPERS_PRESENT_NEED_GENERALIZATION,RAISING_THEN_LIBRARY_LOWERING
aten_airy_ai,aten/src/ATen/native/cpu/airy_ai.cpp,airy_ai_kernel,issues/aten_c_kernels/aten_airy_ai.c,float,N=4096,special_function: airy_ai_kernel,special_function,,NONE,NO_IMPLEMENTATION,no emitted launch,no,1,0,none,no public whole-tensor NVIDIA library operation,NO_PUBLIC_LIBRARY_EQUIVALENT,none,scalar CUDA math/libdevice or recurrences are not a host-callable tensor library implementation,not applicable,retain raised code or permit a generated/custom GPU kernel,HIGH,NONE,A scalar device function may exist; that is not a link-only tensor-library lowering.,,scalar CUDA math/libdevice or generated kernel (not a link-only tensor API),NO_PUBLIC_LIBRARY_BACKEND_POSSIBLE,NO_LINK_ONLY_LIBRARY_ROUTE
aten_amp_update_scale_cpu,aten/src/ATen/native/cpu/AmpGradScalerKernels.cpp,_amp_update_scale_cpu_kernel,issues/aten_c_kernels/aten_amp_update_scale_cpu.c,float/int,,scalar_state_update: _amp_update_scale_kernel,scalar_state_update,,NONE,NO_IMPLEMENTATION,no emitted launch,no,0,0,none,no defensible public-library mapping identified,NO_PUBLIC_LIBRARY_EQUIVALENT,none,operation-specific semantics exceed reviewed public APIs,not applicable,retain raised code; revisit only with new library evidence,MEDIUM,NONE,,,scalar CUDA math/libdevice or generated kernel (not a link-only tensor API),NO_PUBLIC_LIBRARY_BACKEND_POSSIBLE,NO_LINK_ONLY_LIBRARY_ROUTE
aten_arange_cpu,aten/src/ATen/native/cpu/RangeFactoriesKernel.cpp,arange_kernel,issues/aten_c_kernels/aten_arange_cpu.c,float,N=4096,tensor_initialization: arange_kernel,tensor_initialization,,NONE,NO_IMPLEMENTATION,no emitted launch,no,1,0,CUB,cudaMemcpy*/Memset or CUB building blocks,BUILDING_BLOCKS_ONLY,regular contiguous stages,"concatenation, combinations, diagonal/mask/index formulas need multiple calls or transforms",contiguous/regular pitched copies; arbitrary indexing is not memcpy,shape specialization and multi-call composition,HIGH,LOW,,https://nvidia.github.io/cccl/unstable/cub/api/device.html,cuTENSOR/cuDNN only when the indexing operation specializes to a regular affine tensor op,LIBRARY_BACKEND_ABSENT,MULTI_CALL_COMPOSITION_NOT_MATCHER_ONLY
aten_avg_pool2d_cpu,aten/src/ATen/native/cpu/AvgPoolKernel.cpp,avg_pool2d_kernel_impl,issues/aten_c_kernels/aten_avg_pool2d_cpu.c,float,B=1; C=2; I0=6; O0=(I0; I1=7; O1=(I1,pooling: avg_pool2d_kernel_impl,pooling,,NONE,NO_IMPLEMENTATION,no emitted launch,no,4,4,cuDNN,Resample forward/backward (MAXPOOL/AVGPOOL),EXACT_FIXED_CALL,whole,"padding inclusion, NaN propagation, max-index and tie behavior must match",regular fixed windows/strides/dilations in supported layouts,finish raising residual loops; then pool descriptor matcher + generic forward/backward lowering,HIGH,HIGH,,https://docs.nvidia.com/deeplearning/cudnn/latest/index.html,NPP for compatible 2D image cases; implicit-GEMM via cuBLAS/CUTLASS for convolution,RELATED_CUDNN_WRAPPERS_PRESENT_NEED_GENERALIZATION,RAISING_THEN_LIBRARY_LOWERING
aten_avg_pool3d_cpu,aten/src/ATen/native/cpu/AvgPoolKernel.cpp,avg_pool3d_kernel_impl,issues/aten_c_kernels/aten_avg_pool3d_cpu.c,float,B=1; C=2; I0=6; O0=(I0; I1=7; O1=(I1; I2=8; O2=(I2,pooling: avg_pool3d_kernel_impl,pooling,,NONE,NO_IMPLEMENTATION,no emitted launch,no,4,6,cuDNN,Resample forward/backward (MAXPOOL/AVGPOOL),EXACT_FIXED_CALL,whole,"padding inclusion, NaN propagation, max-index and tie behavior must match",regular fixed windows/strides/dilations in supported layouts,finish raising residual loops; then pool descriptor matcher + generic forward/backward lowering,HIGH,HIGH,,https://docs.nvidia.com/deeplearning/cudnn/latest/index.html,NPP for compatible 2D image cases; implicit-GEMM via cuBLAS/CUTLASS for convolution,RELATED_CUDNN_WRAPPERS_PRESENT_NEED_GENERALIZATION,RAISING_THEN_LIBRARY_LOWERING
aten_batch_norm_backward_cpu,aten/src/ATen/native/cpu/batch_norm_kernel.cpp,batch_norm_cpu_backward_kernel,issues/aten_c_kernels/aten_batch_norm_backward_cpu.c,float,B=4; C=8; S=32,normalization: batch_norm_backward_kernel,normalization,,NONE,NO_IMPLEMENTATION,no emitted launch,no,2,2,cuDNN,Batch/Layer/Group normalization graph,EXACT_GRAPH_IF_SUPPORTED,whole for supported normalization; otherwise normalization stages,"epsilon, training/inference, saved statistics, unbiased variance and backward outputs",cuDNN normalization layout/type/alignment restrictions,finish raising residual loops; then normalization semantic matcher + cuDNN graph-plan backend,HIGH,HIGH,,https://docs.nvidia.com/deeplearning/cudnn/latest/index.html,CUB segmented/device reduction; cuDNN graph; NPP flat-signal statistics,GENERAL_CUDNN_GRAPH_BACKEND_ABSENT,RAISING_THEN_LIBRARY_LOWERING
aten_batch_norm_backward_template_cpu,aten/src/ATen/native/Normalization.cpp,batch_norm_backward_cpu_template,issues/aten_c_kernels/aten_batch_norm_backward_template_cpu.c,float,N=8; C=16; H=16; W=16,normalization: batch_norm_backward_template,normalization,,NONE,NO_IMPLEMENTATION,no emitted launch,no,4,3,cuDNN,Batch/Layer/Group normalization graph,EXACT_GRAPH_IF_SUPPORTED,whole for supported normalization; otherwise normalization stages,"epsilon, training/inference, saved statistics, unbiased variance and backward outputs",cuDNN normalization layout/type/alignment restrictions,finish raising residual loops; then normalization semantic matcher + cuDNN graph-plan backend,HIGH,HIGH,,https://docs.nvidia.com/deeplearning/cudnn/latest/index.html,CUB segmented/device reduction; cuDNN graph; NPP flat-signal statistics,GENERAL_CUDNN_GRAPH_BACKEND_ABSENT,RAISING_THEN_LIBRARY_LOWERING
aten_batch_norm_collect_stats_cpu,aten/src/ATen/native/cpu/batch_norm_kernel.cpp,batch_norm_cpu_collect_stats_kernel,issues/aten_c_kernels/aten_batch_norm_collect_stats_cpu.c,float,B=4; C=8; S=32,normalization: batch_norm_collect_stats_kernel,normalization,,NONE,NO_IMPLEMENTATION,no emitted launch,no,2,1,cuDNN,Batch/Layer/Group normalization graph,SUBSET_WITH_CONSTRAINTS,whole for supported normalization; otherwise normalization stages,"epsilon, training/inference, saved statistics, unbiased variance and backward outputs",cuDNN normalization layout/type/alignment restrictions,finish raising residual loops; then normalization semantic matcher + cuDNN graph-plan backend,HIGH,HIGH,,https://docs.nvidia.com/deeplearning/cudnn/latest/index.html,CUB segmented/device reduction; cuDNN graph; NPP flat-signal statistics,GENERAL_CUDNN_GRAPH_BACKEND_ABSENT,RAISING_THEN_LIBRARY_LOWERING
aten_batch_norm_stats_cpu,aten/src/ATen/native/Normalization.cpp,batch_norm_cpu_update_stats_template,issues/aten_c_kernels/aten_batch_norm_stats_cpu.c,float,N=8; C=16; H=16; W=16,normalization: batch_norm_update_stats_template,normalization,,NONE,NO_IMPLEMENTATION,no emitted launch,no,2,1,cuDNN,Batch/Layer/Group normalization graph,SUBSET_WITH_CONSTRAINTS,whole for supported normalization; otherwise normalization stages,"epsilon, training/inference, saved statistics, unbiased variance and backward outputs",cuDNN normalization layout/type/alignment restrictions,finish raising residual loops; then normalization semantic matcher + cuDNN graph-plan backend,HIGH,HIGH,,https://docs.nvidia.com/deeplearning/cudnn/latest/index.html,CUB segmented/device reduction; cuDNN graph; NPP flat-signal statistics,GENERAL_CUDNN_GRAPH_BACKEND_ABSENT,RAISING_THEN_LIBRARY_LOWERING
aten_bernoulli_scalar_cpu,aten/src/ATen/native/cpu/DistributionKernels.cpp,bernoulli_scalar_kernel,issues/aten_c_kernels/aten_bernoulli_scalar_cpu.c,float,N=4096,random_distribution: bernoulli_scalar_kernel,random_distribution,,NONE,NO_IMPLEMENTATION,no emitted launch,no,1,0,cuRAND,uniform/normal/lognormal/Poisson/Sobol generators,SUBSET_WITH_CONSTRAINTS,random draw stage or whole distribution subset,"ATen Philox generator state, seed/offset advancement, reproducibility and exact transform must match",cuRAND output type/count/alignment; many distributions need a transform,RNG-state proof + cuRAND backend; compose unsupported transforms,HIGH,LOW,,https://docs.nvidia.com/cuda/curand/host-api-overview.html,none identified with stronger whole-kernel semantics,LIBRARY_BACKEND_ABSENT,LEGALITY_SPECIALIZATION_AND_BACKEND
aten_bernoulli_tensor_cpu,aten/src/ATen/native/cpu/DistributionKernels.cpp,bernoulli_tensor_kernel,issues/aten_c_kernels/aten_bernoulli_tensor_cpu.c,float,N=4096,random_distribution: bernoulli_tensor_kernel,random_distribution,,NONE,NO_IMPLEMENTATION,no emitted launch,no,1,0,cuRAND,uniform/normal/lognormal/Poisson/Sobol generators,SUBSET_WITH_CONSTRAINTS,random draw stage or whole distribution subset,"ATen Philox generator state, seed/offset advancement, reproducibility and exact transform must match",cuRAND output type/count/alignment; many distributions need a transform,RNG-state proof + cuRAND backend; compose unsupported transforms,HIGH,LOW,,https://docs.nvidia.com/cuda/curand/host-api-overview.html,none identified with stronger whole-kernel semantics,LIBRARY_BACKEND_ABSENT,LEGALITY_SPECIALIZATION_AND_BACKEND
aten_bessel_j0,aten/src/ATen/native/cpu/UnaryOpsKernel.cpp,bessel_j0_kernel,issues/aten_c_kernels/aten_bessel_j0.c,float,N=4096,special_function: bessel_j0_kernel,special_function,,NONE,NO_IMPLEMENTATION,no emitted launch,no,1,0,none,no public whole-tensor NVIDIA library operation,NO_PUBLIC_LIBRARY_EQUIVALENT,none,scalar CUDA math/libdevice or recurrences are not a host-callable tensor library implementation,not applicable,retain raised code or permit a generated/custom GPU kernel,HIGH,NONE,A scalar device function may exist; that is not a link-only tensor-library lowering.,,scalar CUDA math/libdevice or generated kernel (not a link-only tensor API),NO_PUBLIC_LIBRARY_BACKEND_POSSIBLE,NO_LINK_ONLY_LIBRARY_ROUTE
aten_bessel_j1,aten/src/ATen/native/cpu/UnaryOpsKernel.cpp,bessel_j1_kernel,issues/aten_c_kernels/aten_bessel_j1.c,float,N=4096,special_function: bessel_j1_kernel,special_function,,NONE,NO_IMPLEMENTATION,no emitted launch,no,1,0,none,no public whole-tensor NVIDIA library operation,NO_PUBLIC_LIBRARY_EQUIVALENT,none,scalar CUDA math/libdevice or recurrences are not a host-callable tensor library implementation,not applicable,retain raised code or permit a generated/custom GPU kernel,HIGH,NONE,A scalar device function may exist; that is not a link-only tensor-library lowering.,,scalar CUDA math/libdevice or generated kernel (not a link-only tensor API),NO_PUBLIC_LIBRARY_BACKEND_POSSIBLE,NO_LINK_ONLY_LIBRARY_ROUTE
aten_bessel_y0,aten/src/ATen/native/cpu/UnaryOpsKernel.cpp,bessel_y0_kernel,issues/aten_c_kernels/aten_bessel_y0.c,float,N=4096,special_function: bessel_y0_kernel,special_function,,NONE,NO_IMPLEMENTATION,no emitted launch,no,1,0,none,no public whole-tensor NVIDIA library operation,NO_PUBLIC_LIBRARY_EQUIVALENT,none,scalar CUDA math/libdevice or recurrences are not a host-callable tensor library implementation,not applicable,retain raised code or permit a generated/custom GPU kernel,HIGH,NONE,A scalar device function may exist; that is not a link-only tensor-library lowering.,,scalar CUDA math/libdevice or generated kernel (not a link-only tensor API),NO_PUBLIC_LIBRARY_BACKEND_POSSIBLE,NO_LINK_ONLY_LIBRARY_ROUTE
aten_bessel_y1,aten/src/ATen/native/cpu/UnaryOpsKernel.cpp,bessel_y1_kernel,issues/aten_c_kernels/aten_bessel_y1.c,float,N=4096,special_function: bessel_y1_kernel,special_function,,NONE,NO_IMPLEMENTATION,no emitted launch,no,1,0,none,no public whole-tensor NVIDIA library operation,NO_PUBLIC_LIBRARY_EQUIVALENT,none,scalar CUDA math/libdevice or recurrences are not a host-callable tensor library implementation,not applicable,retain raised code or permit a generated/custom GPU kernel,HIGH,NONE,A scalar device function may exist; that is not a link-only tensor-library lowering.,,scalar CUDA math/libdevice or generated kernel (not a link-only tensor API),NO_PUBLIC_LIBRARY_BACKEND_POSSIBLE,NO_LINK_ONLY_LIBRARY_ROUTE
aten_binary_search_strided_rightmost_cpu,aten/src/ATen/native/sparse/SparseTensorMath.cpp,binary_search_strided_rightmost,issues/aten_c_kernels/aten_binary_search_strided_rightmost_cpu.c,int,N=512; Q=128,search: binary_search_strided_rightmost,search,,NONE,NO_IMPLEMENTATION,no emitted launch,no,0,2,CUB,DeviceRadixSort/SegmentedRadixSort/Select/RLE,BUILDING_BLOCKS_ONLY,sort/search/select stages,"stable ordering, NaNs, first-index/tie policy, multidimensional axes and returned indices",contiguous keys or explicit segments; arbitrary strided axes need layout conversion,finish raising residual loops; then CUB backend + operation-specific composition,HIGH,MEDIUM,,https://nvidia.github.io/cccl/unstable/cub/api/device.html,cuTENSOR/cuDNN only when the indexing operation specializes to a regular affine tensor op,LIBRARY_BACKEND_ABSENT,RAISING_THEN_LIBRARY_LOWERING
aten_bincount_cpu,aten/src/ATen/native/SummaryOps.cpp,_bincount_cpu_template,issues/aten_c_kernels/aten_bincount_cpu.c,float/int,N=1024; B=64,weighted_bincount: _bincount_template,weighted_bincount,memset_zero_1D_f32,PARTIAL_STAGE_ONLY,CUDA_RUNTIME_PRIMITIVE,CUDA copy or memset runtime primitive,yes,1,1,CUB,DeviceRadixSort + DeviceReduceByKey + dense scatter,BUILDING_BLOCKS_ONLY,sort and key-reduction stages,keys must be in the output range; duplicate-key floating accumulation order and determinism must be permitted,contiguous int32 keys and FP32 weights/output; zero initialization of every absent bin,finish raising residual loops; then recognize the indirect scatter-add loop and lower a multi-call CUB composition,HIGH,MEDIUM,DeviceHistogram is not a legal replacement because it cannot accumulate per-sample weights,https://nvidia.github.io/cccl/unstable/cub/api/device.html,cuTENSOR/cuDNN only when the indexing operation specializes to a regular affine tensor op,LIBRARY_BACKEND_ABSENT,RAISING_THEN_LIBRARY_LOWERING
aten_binomial_transform_cpu,aten/src/ATen/native/Distributions.cpp,_s_binomial_cpu,issues/aten_c_kernels/aten_binomial_transform_cpu.c,float/int,N=1024; T=32,random_distribution: _s_binomial,random_distribution,,NONE,NO_IMPLEMENTATION,no emitted launch,no,0,2,cuRAND,uniform/normal/lognormal/Poisson/Sobol generators,SUBSET_WITH_CONSTRAINTS,random draw stage or whole distribution subset,"ATen Philox generator state, seed/offset advancement, reproducibility and exact transform must match",cuRAND output type/count/alignment; many distributions need a transform,finish raising residual loops; then RNG-state proof + cuRAND backend; compose unsupported transforms,HIGH,LOW,,https://docs.nvidia.com/cuda/curand/host-api-overview.html,none identified with stronger whole-kernel semantics,LIBRARY_BACKEND_ABSENT,RAISING_THEN_LIBRARY_LOWERING
aten_bitwise_and_i32,aten/src/ATen/native/cpu/BinaryOpsKernel.cpp,bitwise_and_kernel,issues/aten_c_kernels/aten_bitwise_and_i32.c,int,N=4096,integer_pointwise: bitwise_and_kernel,integer_pointwise,,NONE,NO_IMPLEMENTATION,no emitted launch,no,1,0,NPP,signal logical/shift primitives,SUBSET_WITH_CONSTRAINTS,whole only for flat supported integer signals,"signed shifts, overflow and scalar-vs-vector operands must agree",NPP fixed integer types and contiguous 1D signal representation,layout/type specialization + NPP wrapper; retain nonmatching cases,HIGH,LOW,,https://docs.nvidia.com/cuda/npp/,none identified with stronger whole-kernel semantics,LIBRARY_BACKEND_ABSENT,LEGALITY_SPECIALIZATION_AND_BACKEND
aten_bitwise_not_i32,aten/src/ATen/native/cpu/UnaryOpsKernel.cpp,bitwise_not_kernel,issues/aten_c_kernels/aten_bitwise_not_i32.c,int,N=4096,integer_pointwise: bitwise_not_kernel,integer_pointwise,,NONE,NO_IMPLEMENTATION,no emitted launch,no,1,0,NPP,signal logical/shift primitives,SUBSET_WITH_CONSTRAINTS,whole only for flat supported integer signals,"signed shifts, overflow and scalar-vs-vector operands must agree",NPP fixed integer types and contiguous 1D signal representation,layout/type specialization + NPP wrapper; retain nonmatching cases,HIGH,LOW,,https://docs.nvidia.com/cuda/npp/,none identified with stronger whole-kernel semantics,LIBRARY_BACKEND_ABSENT,LEGALITY_SPECIALIZATION_AND_BACKEND
