kernel,op_token,has_native_cuda
aten_bilinear_cpu,bilinear,yes
aten_binary_cross_entropy,binary_cross_entropy,yes
aten_binary_search_strided_rightmost_cpu,binary_search_strided_rightmost,no
aten_bincount_cpu,bincount,yes
aten_binomial_transform_cpu,binomial,yes
aten_bitwise_and_i32,bitwise_and_i32,yes
aten_bitwise_not_i32,bitwise_not_i32,yes
aten_bitwise_or_i32,bitwise_or_i32,yes
aten_bitwise_xor_i32,bitwise_xor_i32,yes
aten_blas_axpy_cpu,blas_axpy,no
aten_blas_copy_cpu,blas_copy,no
aten_blas_dot_naive_cpu,blas_dot_naive,no
aten_blas_gemv_generic_cpu,blas_gemv_generic,no
aten_blas_scale_cpu,blas_scale,yes
aten_blas_sum_cpu,blas_sum,yes
aten_block_diag_cpu,block_diag,yes
aten_bmm,bmm,yes
aten_cartesian_prod_cpu,cartesian_prod,no
aten_cat_serial_cpu,cat_serial,no
aten_cat_sparse_cpu,cat_sparse,no
aten_cauchy_cpu,cauchy,yes
aten_cdist_backward_cpu,cdist,yes
aten_cdist_cpu,cdist,yes
aten_ceil,ceil,yes
aten_channel_shuffle,channel_shuffle,no
aten_channel_shuffle_cpu,channel_shuffle,no
aten_chebyshev_polynomial_t,chebyshev_polynomial_t,yes
aten_chebyshev_polynomial_u,chebyshev_polynomial_u,yes
aten_chebyshev_polynomial_v,chebyshev_polynomial_v,yes
aten_chebyshev_polynomial_w,chebyshev_polynomial_w,yes
aten_circular_pad_cpu,circular_pad,yes
aten_clamp,clamp,yes
aten_clamp_cpu,clamp,yes
aten_clamp_max_scalar_cpu,clamp_max_scalar,yes
aten_clamp_min_scalar_cpu,clamp_min_scalar,yes
aten_clamp_scalar_cpu,clamp_scalar,yes
aten_coalesce_sparse_cpu,coalesce_sparse,yes
aten_col2im_cpu,col2im,yes
aten_combinations_cpu,combinations,no
aten_complex_scalarized,complex,yes
aten_compressed_block_convert_cpu,compressed_block_convert,no
aten_conj_complex_scalarized,conj_complex,yes
aten_constant_pad_nd_cpu,constant_pad_nd,yes
aten_conv1d,conv1d,yes
aten_conv2d,conv2d,yes
aten_conv2d_columns_cpu,conv2d_columns,yes
aten_conv3d,conv3d,yes
aten_conv3d_columns_cpu,conv3d_columns,yes
aten_conv_tbc_backward_cpu,conv_tbc,yes
aten_conv_tbc_cpu,conv_tbc,yes
aten_conv_transpose2d,conv_transpose2d,yes
aten_conv_transpose3d_backward_cpu,conv_transpose3d,yes
aten_conv_transpose3d_cpu,conv_transpose3d,yes
aten_conv_transpose3d_grad_weight_cpu,conv_transpose3d_grad_weight,yes
aten_convert_coo_to_csr_cpu,convert_coo_to_csr,no
aten_convert_csr_to_coo_cpu,convert_csr_to_coo,no
aten_copy_cpu,copy,yes
aten_copy_tensor_array_cpu,copy_tensor_array,yes
aten_copysign,copysign,yes
aten_cos,cos,yes
aten_cosh,cosh,yes
aten_count_nonzero_cpu,count_nonzero,yes
aten_count_nonzero_impl_cpu,count_nonzero,yes
aten_cpu_blas_gemm_batched_cpu,cpu_blas_gemm_batched,no
aten_cpu_blas_gemm_cpu,cpu_blas_gemm,no
aten_cpu_blas_gemm_strided_batched_cpu,cpu_blas_gemm_strided_batched,no
aten_cross,cross,yes
aten_cross_cpu_backend,cross_cpu_backend,yes
aten_ctc_loss_backward_cpu,ctc_loss,yes
aten_ctc_loss_cpu,ctc_loss,yes
aten_cummax_cummin_cpu,cummax_cummin,yes
aten_cumprod_backward_cpu,cumprod,yes
aten_cumprod_cpu,cumprod,yes
aten_cumsum,cumsum,yes
aten_dense_sparse_add_cpu,dense_sparse_add,yes
aten_depthwise_conv3x3_cpu,depthwise_conv3x3,yes
aten_diff_cpu,diff,no
aten_digamma,digamma,yes
aten_dilated_convolution_cpu,dilated_convolution,yes
aten_dirichlet_grad_cpu,dirichlet_grad,yes
aten_dirichlet_transform_cpu,dirichlet,yes
aten_div,div,yes
aten_div_floor,div_floor,yes
aten_div_trunc,div_trunc,yes
aten_dot,dot,yes
aten_dropout_feature_noise_cpu,dropout_feature_noise,no
aten_dyn_quant_matmul_4bit_cpu,dyn_quant_matmul_4bit,no
aten_dyn_quant_pack_4bit_weight_cpu,dyn_quant_pack_4bit_weight,no
aten_eig_complex_vectors_cpu,eig_complex_vectors,yes
aten_elu,elu,yes
aten_elu_backward,elu,yes
aten_embedding,embedding,yes
aten_embedding_bag_backward_max_cpu,embedding_bag_backward_max,yes
aten_embedding_bag_backward_sum_cpu,embedding_bag_backward_sum,yes
aten_embedding_bag_counts_cpu,embedding_bag_counts,yes
aten_embedding_bag_counts_uniq_cpu,embedding_bag_counts_uniq,yes
aten_embedding_bag_max_cpu,embedding_bag_max,yes
aten_embedding_bag_per_sample_backward_cpu,embedding_bag_per_sample,yes
aten_entr,entr,no
aten_eq,eq,yes
aten_equal_cpu,equal,yes
aten_erf,erf,yes
aten_erfc,erfc,yes
aten_erfcx,erfcx,yes
aten_erfinv,erfinv,yes
aten_exp,exp,yes
aten_exp2,exp2,yes
aten_expm1,expm1,yes
aten_exponential_cpu,exponential,yes
aten_eye_cpu,eye,yes
aten_fast_cat_dim0_cpu,fast_cat_dim0,no
aten_fft_conjugate_symmetry_cpu,fft_conjugate_symmetry,yes
aten_fftshift_cpu,fftshift,yes
aten_fill,fill,yes
aten_fill_diagonal_cpu,fill_diagonal,yes
aten_flash_attention_backward_cpu,flash_attention,no
aten_flash_attention_cpu,flash_attention,no
aten_flatten_indices_launch_cpu,flatten_indices_launch,yes
aten_flatten_nd_linear_cpu,flatten_nd_linear,no
aten_flip_cpu,flip,no
aten_flip_tensor_transform_cpu,flip_tensor,no
aten_floor,floor,yes
aten_fmax,fmax,yes
aten_fmin,fmin,yes
aten_fmod,fmod,yes
aten_fp16_dot_cpu,fp16_dot,no
aten_fp16_gemv_f16arith_cpu,fp16_gemv_f16arith,no
aten_fp16_gemv_f32arith_cpu,fp16_gemv_f32arith,no
aten_fp16_gemv_notrans_cpu,fp16_gemv_notrans,no
aten_fp16_gemv_trans_cpu,fp16_gemv_trans,no
aten_frac,frac,yes
aten_fractional_max_pool2d_backward_cpu,fractional_max_pool2d,yes
aten_fractional_max_pool2d_cpu,fractional_max_pool2d,yes
aten_fractional_max_pool3d_backward_cpu,fractional_max_pool3d,yes
aten_fractional_max_pool3d_cpu,fractional_max_pool3d,yes
aten_fused_adagrad_cpu,fused_adagrad,yes
aten_fused_adam_cpu,fused_adam,yes
aten_fused_sgd_cpu,fused_sgd,yes
aten_gamma_transform_cpu,gamma,yes
aten_gather_cpu,gather,yes
aten_gather_expanded_index_cpu,gather_expanded_index,yes
aten_gcd_i32,gcd_i32,yes
aten_ge,ge,yes
aten_gelu,gelu,yes
aten_gelu_backward_cpu_exact,gelu_backward_cpu_exact,yes
aten_gelu_backward_cpu_tanh,gelu_backward_cpu_tanh,yes
aten_gelu_cpu_exact,gelu_cpu_exact,yes
aten_gelu_cpu_tanh,gelu_cpu_tanh,yes
aten_gemm_notrans_cpu,gemm_notrans,no
aten_gemm_transa_cpu,gemm_transa,no
aten_gemm_transab_cpu,gemm_transab,no
aten_gemm_transb_cpu,gemm_transb,no
aten_geometric_cpu,geometric,yes
aten_glu,glu,yes
aten_glu_backward,glu,yes
aten_glu_jvp,glu_jvp,yes
aten_gradient_cpu,gradient,yes
aten_gradient_float_cpu,gradient_float,no
aten_grid_sampler_2d_backward_cpu,grid_sampler_2d,yes
aten_grid_sampler_2d_cpu,grid_sampler_2d,yes
aten_grid_sampler_2d_fallback_cpu,grid_sampler_2d_fallback,yes
aten_grid_sampler_2d_quantized_cpu,grid_sampler_2d_quantized,yes
aten_grid_sampler_3d_backward_cpu,grid_sampler_3d,yes
aten_grid_sampler_3d_cpu,grid_sampler_3d,yes
aten_group_norm_backward_cpu,group_norm,yes
aten_group_norm_cpu,group_norm,yes
aten_gt,gt,yes
aten_hardshrink,hardshrink,yes
aten_hardsigmoid,hardsigmoid,yes
aten_hardsigmoid_backward,hardsigmoid,yes
aten_hardswish,hardswish,yes
aten_hardswish_backward,hardswish,yes
aten_hardtanh,hardtanh,yes
aten_hardtanh_backward,hardtanh,yes
aten_heaviside,heaviside,yes
aten_hermite_polynomial_h,hermite_polynomial_h,yes
aten_hermite_polynomial_he,hermite_polynomial_he,yes
aten_histogram_select_outer_bin_edges_cpu,histogram_select_outer_bin_edges,no
aten_histogramdd_cpu,histogramdd,no
aten_histogramdd_linear_cpu,histogramdd_linear,no
aten_host_softmax_backward_cpu,host_softmax,yes
aten_host_softmax_cpu,host_softmax,yes
aten_hspmm_cpu,hspmm,yes
aten_huber_backward,huber,yes
aten_huber_elementwise,huber_elementwise,yes
aten_hypot,hypot,yes
aten_i0,i0,yes
aten_i0e,i0e,no
aten_i1,i1,no
aten_i1e,i1e,no
aten_ifftshift_cpu,ifftshift,yes
aten_igamma,igamma,yes
aten_igammac,igammac,yes
aten_im2col,im2col,yes
aten_index_copy_cpu,index_copy,yes
aten_index_cpu,index,yes
aten_index_fill_cpu,index_fill,yes
aten_index_put_cpu,index_put,yes
aten_index_put_impl_cpu,index_put,yes
aten_index_reduce_impl_cpu,index_reduce,yes
aten_index_select_dim1_cpu,index_select_dim1,yes
aten_index_select_out_cpu,index_select,yes
aten_index_select_sparse_cpu,index_select_sparse,yes
aten_int4pack_mm_cpu,int4pack_mm,yes
aten_int8pack_mm_cpu,int8pack_mm,yes
aten_int_mm_out_cpu,int_mm,yes
aten_isin_default_cpu,isin_default,yes
aten_isneginf,isneginf,yes
aten_isposinf,isposinf,yes
aten_jagged_to_padded_cpu,jagged_to_padded,yes
aten_joint_scaling_cpu,joint_scaling,no
aten_kaiser_window,kaiser_window,yes
aten_kron_impl_cpu,kron,no
aten_kron_out_cpu,kron,no
aten_kthvalue_cpu,kthvalue,yes
aten_l1_loss,l1_loss,no
aten_laguerre_polynomial_l,laguerre_polynomial_l,yes
aten_layer_norm,layer_norm,yes
aten_layer_norm_backward_cpu,layer_norm,yes
aten_layer_norm_cpu_backend,layer_norm_cpu_backend,yes
aten_lcm_i32,lcm_i32,yes
aten_ldexp,ldexp,yes
aten_le,le,yes
aten_leaky_relu,leaky_relu,yes
aten_legendre_polynomial_p,legendre_polynomial_p,yes
aten_lerp,lerp,yes
aten_lerp_scalar,lerp_scalar,yes
aten_lerp_scalar_cpu,lerp_scalar,yes
aten_lerp_tensor_cpu,lerp_tensor,yes
aten_lgamma,lgamma,yes
aten_linalg_powsum_cpu,linalg_powsum,yes
aten_linear_combination_cpu,linear_combination,yes
aten_linspace,linspace,yes
aten_log,log,yes
aten_log10,log10,yes
aten_log1p,log1p,yes
aten_log2,log2,yes
aten_log_ndtr,log_ndtr,yes
aten_log_normal_cpu,log_normal,yes
aten_log_sigmoid_backward_cpu,log_sigmoid,yes
aten_log_sigmoid_cpu,log_sigmoid,yes
aten_logaddexp,logaddexp,yes
aten_logaddexp2,logaddexp2,yes
aten_logcumsumexp_cpu,logcumsumexp,yes
aten_logical_and,logical_and,yes
aten_logical_not_f32,logical_not_f32,yes
aten_logical_or,logical_or,yes
aten_logical_xor,logical_xor,yes
aten_logit,logit,yes
aten_logit_backward,logit,yes
aten_logspace_cpu,logspace,yes
aten_lower_bound_cpu,lower_bound,yes
aten_lshift_i32,lshift_i32,yes
aten_lt,lt,yes
aten_masked_fill_cpu,masked_fill,yes
aten_masked_scale,masked_scale,yes
aten_masked_scatter_backward_cpu,masked_scatter,yes
aten_masked_scatter_cpu,masked_scatter,yes
aten_masked_select_cpu,masked_select,yes
aten_masked_select_serial_cpu,masked_select_serial,yes
aten_max_all_cpu,max_all,yes
aten_max_pool1d_cpu,max_pool1d,no
aten_max_pool2d,max_pool2d,yes
aten_max_pool3d_backward_cpu,max_pool3d,yes
aten_max_pool3d_cpu,max_pool3d,yes
aten_max_reduce_cpu,max_reduce,yes
aten_max_unpool2d_cpu,max_unpool2d,yes
aten_max_unpool3d_cpu,max_unpool3d,yes
aten_max_unpool_backward_cpu,max_unpool,yes
aten_max_values_cpu,max_values,yes
aten_maximum,maximum,yes
aten_mean,mean,yes
aten_median_indices_cpu,median_indices,yes
aten_min_all_cpu,min_all,yes
aten_min_reduce_cpu,min_reduce,yes
aten_min_values_cpu,min_values,yes
aten_minimum,minimum,yes
aten_mish,mish,yes
aten_mish_backward,mish,yes
aten_mm,mm,yes
aten_mode_cpu,mode,yes
aten_modified_bessel_i0,modified_bessel_i0,yes
aten_modified_bessel_i1,modified_bessel_i1,yes
aten_modified_bessel_k0,modified_bessel_k0,yes
aten_modified_bessel_k1,modified_bessel_k1,yes
aten_mse_backward,mse,yes
aten_mse_elementwise,mse_elementwise,yes
aten_mse_loss,mse_loss,yes
aten_mul,mul,yes
aten_multi_margin_loss_backward_cpu,multi_margin_loss,yes
aten_multi_margin_loss_cpu,multi_margin_loss,yes
aten_multilabel_margin_loss_backward_cpu,multilabel_margin_loss,yes
aten_multilabel_margin_loss_forward_cpu,multilabel_margin_loss,yes
aten_multinomial_with_replacement_cpu,multinomial_with_replacement,yes
aten_mv,mv,yes
aten_nan_to_num,nan_to_num,yes
aten_nansum_cpu,nansum,yes
aten_narrow_copy_dense_cpu,narrow_copy_dense,yes
aten_ndtri,ndtri,yes
aten_ne,ne,yes
aten_neg,neg,yes
aten_nested_all_cpu,nested_all,no
aten_nested_batch_offsets_cpu,nested_batch_offsets,no
aten_nested_bmm_cpu,nested_bmm,no
aten_nested_clone_cpu,nested_clone,yes
aten_nested_from_padded_cpu,nested_from_padded,no
aten_nested_matmul_broadcast_cpu,nested_matmul_broadcast,yes
aten_nested_pad_cpu,nested_pad,no
aten_nested_select_cpu,nested_select,yes
aten_nested_softmax_backward_cpu,nested_softmax,no
aten_nested_softmax_cpu,nested_softmax,yes
aten_nested_softmax_dropout_cpu,nested_softmax_dropout,no
aten_nested_squeeze_cpu,nested_squeeze,yes
aten_nested_sum_backward_cpu,nested_sum,no
aten_nested_sum_dim_cpu,nested_sum_dim,no
aten_nested_to_mask_cpu,nested_to_mask,no
aten_nested_to_padded_cpu,nested_to_padded,no
aten_nested_where_cpu,nested_where,no
aten_nested_where_out_cpu,nested_where,no
aten_nextafter,nextafter,yes
aten_nll_loss2d_backward_cpu,nll_loss2d,yes
aten_nll_loss2d_forward_cpu,nll_loss2d,yes
aten_nll_loss_backward_cpu,nll_loss,yes
aten_nll_loss_forward_cpu,nll_loss,yes
aten_nonzero_out_cpu,nonzero,yes
aten_norm_cpu,norm,yes
aten_normal_cpu,normal,yes
aten_or_reduce_cpu,or_reduce,yes
aten_outer,outer,yes
aten_padded_to_jagged_cpu,padded_to_jagged,yes
aten_pdist_backward_cpu,pdist,yes
aten_pdist_forward_cpu,pdist,yes
aten_permute_sparse_coo_cpu,permute_sparse_coo,yes
aten_pixel_shuffle,pixel_shuffle,yes
aten_pixel_shuffle_cpu_backend,pixel_shuffle_cpu_backend,yes
aten_pixel_unshuffle_cpu_backend,pixel_unshuffle_cpu_backend,yes
aten_poisson_transform_cpu,poisson,yes
aten_polar_scalarized,polar,yes
aten_polygamma,polygamma,yes
aten_pow,pow,yes
aten_pow_tensor_scalar,pow_tensor_scalar,yes
aten_powsum_cpu,powsum,yes
aten_prod,prod,yes
aten_put_cpu,put,yes
aten_quant_col_offsets_cpu,quant_col_offsets,no
aten_quant_saturation_cpu,quant_saturation,no
aten_quick_select_cpu,quick_select,no
aten_random_cpu,random,yes
aten_random_from_to_cpu,random_from_to,yes
aten_random_full_64_bits_range_cpu,random_full_64_bits_range,yes
aten_randperm_cpu,randperm,yes
aten_range_out_cpu,range,yes
aten_reciprocal,reciprocal,yes
aten_reflect_conj_tri_cpu,reflect_conj_tri,no
aten_reflection_pad1d_backward_cpu,reflection_pad1d,yes
aten_reflection_pad1d_cpu,reflection_pad1d,yes
aten_reflection_pad2d,reflection_pad2d,yes
aten_reflection_pad2d_backward_cpu,reflection_pad2d,yes
aten_reflection_pad2d_cpu,reflection_pad2d,yes
aten_reflection_pad3d_backward_cpu,reflection_pad3d,yes
aten_reflection_pad3d_cpu,reflection_pad3d,yes
aten_relu,relu,yes
aten_remainder,remainder,yes
aten_renorm_scale_factor,renorm_scale_factor,yes
aten_repeat_compute_cpu,repeat_compute,yes
aten_repeat_tensor_shape_cpu,repeat_tensor_shape,yes
aten_replication_pad1d_backward_cpu,replication_pad1d,yes
aten_replication_pad1d_cpu,replication_pad1d,yes
aten_replication_pad2d,replication_pad2d,yes
aten_replication_pad2d_backward_cpu,replication_pad2d,yes
aten_replication_pad2d_cpu,replication_pad2d,yes
aten_replication_pad3d_backward_cpu,replication_pad3d,yes
aten_replication_pad3d_cpu,replication_pad3d,yes
aten_rms_norm,rms_norm,yes
aten_round,round,yes
aten_round_decimals,round_decimals,yes
aten_rowwise_prune_cpu,rowwise_prune,no
aten_rshift_i32,rshift_i32,yes
aten_rsqrt,rsqrt,yes
aten_sample_poisson_transform_cpu,sample_poisson,no
aten_sampled_addmm_sparse_csr_cpu,sampled_addmm_sparse_csr,no
aten_scaled_modified_bessel_k0,scaled_modified_bessel_k0,yes
aten_scaled_modified_bessel_k1,scaled_modified_bessel_k1,yes
aten_scatter_add_cpu,scatter_add,yes
aten_scatter_add_expanded_index_cpu,scatter_add_expanded_index,yes
aten_scatter_cpu,scatter,yes
aten_scatter_fill_cpu,scatter_fill,yes
aten_scatter_reduce_cpu,scatter_reduce,yes
aten_scatter_reduce_expanded_index_cpu,scatter_reduce_expanded_index,yes
aten_scatter_reduce_two_cpu,scatter_reduce_two,yes
aten_scatter_scalar_reduce_cpu,scatter_scalar_reduce,yes
aten_searchsorted_cpu,searchsorted,yes
aten_segment_reduce_lengths_backward_cpu,segment_reduce_lengths,yes
aten_segment_reduce_lengths_cpu,segment_reduce_lengths,yes
aten_sgn_complex_scalarized,sgn_complex,yes
aten_shrink_backward,shrink,yes
aten_sigmoid,sigmoid,yes
aten_sigmoid_backward,sigmoid,yes
aten_sign,sign,yes
aten_signbit,signbit,yes
aten_silu,silu,yes
aten_silu_backward,silu,yes
aten_silu_cpu,silu,yes
aten_sin,sin,yes
aten_sinc,sinc,yes
aten_sinh,sinh,yes
aten_slow_conv3d_backward_input_cpu,slow_conv3d_backward_input,no
aten_slow_conv3d_backward_weight_cpu,slow_conv3d_backward_weight,no
aten_slow_conv3d_forward_cpu,slow_conv3d,no
aten_smooth_l1_backward,smooth_l1,yes
aten_smooth_l1_elementwise,smooth_l1_elementwise,yes
aten_sobol_draw_cpu,sobol_draw,no
aten_sobol_fast_forward_cpu,sobol_fast,no
aten_sobol_initialize_cpu,sobol_initialize,no
aten_sobol_scramble_cpu,sobol_scramble,no
aten_softmax,softmax,yes
aten_softplus,softplus,yes
aten_softplus_backward,softplus,yes
aten_softshrink,softshrink,yes
aten_sort_cpu,sort,yes
aten_sparse_add_values_cpu,sparse_add_values,yes
aten_sparse_addmm_cpu,sparse_addmm,no
aten_sparse_addmv_bsr_cpu,sparse_addmv_bsr,yes
aten_sparse_addmv_csr_cpu,sparse_addmv_csr,yes
aten_sparse_bmm_cpu,sparse_bmm,no
aten_sparse_coo_softmax_backward_cpu,sparse_coo_softmax,no
aten_sparse_coo_softmax_cpu,sparse_coo_softmax,no
aten_sparse_coo_to_csr_cpu,sparse_coo_to_csr,no
aten_sparse_csr_add_dense_cpu,sparse_csr_add_dense,yes
aten_sparse_csr_addmm_cpu,sparse_csr_addmm,yes
aten_sparse_csr_reduce_all_cpu,sparse_csr_reduce_all,no
aten_sparse_csr_reduce_dim0_cpu,sparse_csr_reduce_dim0,no
aten_sparse_csr_reduce_dim1_cpu,sparse_csr_reduce_dim1,no
aten_sparse_dense_intersection_cpu,sparse_dense_intersection,no
aten_sparse_flatten_indices_cpu,sparse_flatten_indices,no
aten_sparse_full_coo_indices_cpu,sparse_full_coo_indices,yes
aten_sparse_intersection_apply_cpu,sparse_intersection_apply,yes
aten_sparse_intersection_launch_cpu,sparse_intersection_launch,yes
aten_sparse_matmul_cpu,sparse_matmul,no
aten_sparse_matmul_csr_to_coo_cpu,sparse_matmul_csr_to_coo,no
aten_sparse_matmul_maxnnz_cpu,sparse_matmul_maxnnz,no
aten_sparse_mul_cpu,sparse_mul,yes
aten_sparse_norm_cpu,sparse_norm,yes
aten_sparse_softmax_offsets_cpu,sparse_softmax_offsets,no
aten_sparse_softmax_pools_cpu,sparse_softmax_pools,no
aten_sparse_sum_backward_cpu,sparse_sum,yes
aten_sparse_sum_cpu,sparse_sum,yes
aten_spdiags_cpu,spdiags,no
aten_spherical_bessel_j0,spherical_bessel_j0,yes
aten_split_copy_cpu,split_copy,yes
aten_spmm_reduce_arg_cpu,spmm_reduce_arg,no
aten_spmm_reduce_backward_input_arg_cpu,spmm_reduce_backward_input_arg,no
aten_spmm_reduce_backward_input_cpu,spmm_reduce_backward_input,no
aten_spmm_reduce_backward_other_arg_cpu,spmm_reduce_backward_other_arg,no
aten_spmm_reduce_backward_other_cpu,spmm_reduce_backward_other,no
aten_spmm_reduce_cpu,spmm_reduce,no
aten_sqrt,sqrt,yes
aten_square,square,yes
aten_sspaddmm_cpu,sspaddmm,yes
aten_stack_serial_cpu,stack_serial,yes
aten_standard_gamma_grad_cpu,standard_gamma_grad,yes
aten_std_var_all_cpu,std_var_all,no
aten_std_var_cpu,std_var,yes
aten_sum,sum,yes
aten_sum_cpu_backend,sum_cpu_backend,yes
aten_sumproduct_pair_cpu,sumproduct_pair,no
aten_take_cpu,take,no
aten_tan,tan,yes
aten_tanh,tanh,yes
aten_tanh_backward,tanh,yes
aten_threshold_backward,threshold,yes
aten_topk_cpu,topk,yes
aten_trace_cpu,trace,yes
aten_transform_bias_rescale_qkv_cpu,transform_bias_rescale_qkv,no
aten_transpose_copy,transpose_copy,yes
aten_trigamma,trigamma,yes
aten_tril_indices_cpu,tril_indices,yes
aten_trilinear_cpu,trilinear,yes
aten_triu_indices_cpu,triu_indices,yes
aten_triu_mask_cpu,triu_mask,yes
aten_triu_tril_batch_cpu,triu_tril_batch,yes
aten_triu_tril_single_cpu,triu_tril_single,yes
aten_trunc,trunc,yes
aten_unbind_copy_cpu,unbind_copy,yes
aten_unfold3d_acc_cpu,unfold3d_acc,yes
aten_unfold3d_copy_cpu,unfold3d_copy,yes
aten_unfold3d_zero_acc_cpu,unfold3d_zero_acc,yes
aten_unfold3d_zero_copy_cpu,unfold3d_zero_copy,yes
aten_unfold_backward_cpu,unfold,yes
aten_unfolded2d_acc_cpu,unfolded2d_acc,yes
aten_unfolded2d_copy_cpu,unfolded2d_copy,yes
aten_uniform_cpu,uniform,yes
aten_unique_bool_cpu,unique_bool,yes
aten_unique_consecutive_cpu,unique_consecutive,yes
aten_unique_dim_impl_cpu,unique_dim,yes
aten_unique_dim_template_cpu,unique_dim,yes
aten_unique_sorted_cpu,unique_sorted,no
aten_unpack_pivots_cpu,unpack_pivots,yes
aten_unsafe_index_cpu,unsafe_index,yes
aten_upper_bound_cpu,upper_bound,yes
aten_upsample_bicubic2d_aa_backward_cpu,upsample_bicubic2d_aa,yes
aten_upsample_bicubic2d_aa_cpu,upsample_bicubic2d_aa,yes
aten_upsample_bicubic2d_backward_cpu,upsample_bicubic2d,yes
aten_upsample_bicubic2d_cpu,upsample_bicubic2d,yes
aten_upsample_bilinear2d,upsample_bilinear2d,yes
aten_upsample_bilinear2d_aa_backward_cpu,upsample_bilinear2d_aa,yes
aten_upsample_bilinear2d_aa_cpu,upsample_bilinear2d_aa,yes
aten_upsample_bilinear2d_backward_cpu,upsample_bilinear2d,yes
aten_upsample_bilinear2d_cpu,upsample_bilinear2d,yes
aten_upsample_lanczos2d_aa_backward_cpu,upsample_lanczos2d_aa,no
aten_upsample_lanczos2d_aa_cpu,upsample_lanczos2d_aa,no
aten_upsample_linear1d_backward_cpu,upsample_linear1d,yes
aten_upsample_linear1d_cpu,upsample_linear1d,yes
aten_upsample_nearest1d_backward_cpu,upsample_nearest1d,yes
aten_upsample_nearest1d_cpu,upsample_nearest1d,yes
aten_upsample_nearest2d,upsample_nearest2d,yes
aten_upsample_nearest2d_backward_cpu,upsample_nearest2d,yes
aten_upsample_nearest2d_cpu,upsample_nearest2d,yes
aten_upsample_nearest3d_backward_cpu,upsample_nearest3d,yes
aten_upsample_nearest3d_cpu,upsample_nearest3d,yes
aten_upsample_nearest_exact1d_backward_cpu,upsample_nearest_exact1d,yes
aten_upsample_nearest_exact1d_cpu,upsample_nearest_exact1d,yes
aten_upsample_nearest_exact2d_backward_cpu,upsample_nearest_exact2d,yes
aten_upsample_nearest_exact2d_cpu,upsample_nearest_exact2d,yes
aten_upsample_nearest_exact3d_backward_cpu,upsample_nearest_exact3d,yes
aten_upsample_nearest_exact3d_cpu,upsample_nearest_exact3d,yes
aten_upsample_trilinear3d_backward_cpu,upsample_trilinear3d,yes
