kernel,configuration,dataset,datatype,correctness_status,samples,warmups,statistic,device_time_ms,end_to_end_time_ms,speedup_vs_native,library,device,measurement_scope,command,log
3mm,raised_gpu,LARGE,double,pass,5,1,median,477.488617,554.605120,,CUDA 12.6 cuBLAS,Jetson Orin sm_87,compute-only CUDA events after generic control-flow pipeline-scope coalescing; compiler-visible memory device median 75.119008 ms; E2E raised function including memory and orchestration,see logs/raised_gpu_scope_coalesced_rerun_command.log,logs/3mm/raised_gpu_scope_coalesced_timing_raw.csv
atax,raised_gpu,LARGE,double,pass,5,1,median,47.704098,71.078496,,CUDA 12.6 cuBLAS,Jetson Orin sm_87,compute-only CUDA events after generic control-flow pipeline-scope coalescing; compiler-visible memory device median 22.923904 ms; E2E raised function including memory and orchestration,see logs/raised_gpu_scope_coalesced_rerun_command.log,logs/atax/raised_gpu_scope_coalesced_timing_raw.csv
bicg,raised_gpu,LARGE,double,pass,5,1,median,48.369122,71.330688,,CUDA 12.6 cuBLAS,Jetson Orin sm_87,compute-only CUDA events after generic control-flow pipeline-scope coalescing; compiler-visible memory device median 22.737728 ms; E2E raised function including memory and orchestration,see logs/raised_gpu_scope_coalesced_rerun_command.log,logs/bicg/raised_gpu_scope_coalesced_timing_raw.csv
doitgen,raised_gpu,LARGE,double,pass,5,1,median,456.761505,474.301088,,CUDA 12.6 cuBLAS,Jetson Orin sm_87,compute-only CUDA events after generic control-flow pipeline-scope coalescing; compiler-visible memory device median 17.089728 ms; E2E raised function including memory and orchestration,see logs/raised_gpu_scope_coalesced_command.log,logs/raised_gpu_scope_coalesced_timing_raw.csv
gemm,raised_gpu,LARGE,double,pass,5,1,median,240.480774,267.094464,,CUDA 12.6 cuBLAS,Jetson Orin sm_87,compute-only CUDA events; compiler-visible memory device median 26.234592 ms; E2E raised function including memory and orchestration,see logs/gemm/raised_gpu_region_timing_command.log,logs/gemm/raised_gpu_region_timing_raw.csv
gemver,raised_gpu,LARGE,double,pass,5,1,median,77.329315,98.272704,,CUDA 12.6 cuBLAS,Jetson Orin sm_87,compute-only CUDA events after generic control-flow pipeline-scope coalescing; compiler-visible memory device median 20.617056 ms; E2E raised function including memory and orchestration,see logs/raised_gpu_scope_coalesced_command.log,logs/raised_gpu_scope_coalesced_timing_raw.csv
gesummv,raised_gpu,LARGE,double,pass,5,1,median,41.558975,64.134816,,CUDA 12.6 cuBLAS,Jetson Orin sm_87,compute-only CUDA events after generic control-flow pipeline-scope coalescing; compiler-visible memory device median 22.204032 ms; E2E raised function including memory and orchestration,see logs/raised_gpu_scope_coalesced_rerun_command.log,logs/gesummv/raised_gpu_scope_coalesced_timing_raw.csv
mvt,raised_gpu,LARGE,double,pass,5,1,median,47.590466,70.246304,,CUDA 12.6 cuBLAS,Jetson Orin sm_87,compute-only CUDA events after generic control-flow pipeline-scope coalescing; compiler-visible memory device median 22.301792 ms; E2E raised function including memory and orchestration,see logs/raised_gpu_scope_coalesced_rerun_command.log,logs/mvt/raised_gpu_scope_coalesced_timing_raw.csv
syr2k,raised_gpu,LARGE,double,pass,5,1,median,226.520538,253.400224,,CUDA 12.6 cuBLAS,Jetson Orin sm_87,compute-only CUDA events; compiler-visible memory device median 24.959712 ms; E2E raised function including memory and orchestration,see logs/syr2k/raised_gpu_region_timing_command.log,logs/syr2k/raised_gpu_region_timing_raw.csv
syrk,raised_gpu,LARGE,double,pass,5,1,median,145.095322,163.361824,,CUDA 12.6 cuBLAS,Jetson Orin sm_87,compute-only CUDA events; compiler-visible memory device median 18.270656 ms; E2E raised function including memory and orchestration,see logs/syrk/raised_gpu_region_timing_command.log,logs/syrk/raised_gpu_region_timing_raw.csv
